sentiment,texts
negative,work getting quick bite eat kill wrist self addressing envolopes
negative,Arghhhhhhhhh keep TwitterBones peeps
neutral,Undervote going overalled
positive,making german apple slice nom nom nom
neutral,Looks like another night office lol
negative,tummy hurts
neutral,Got hours sleep
negative,Anybody else experiencing painful slowdowns facebook
neutral,Lol people falcon boo one becca
neutral,really need earn money watch PCD concert
negative,poor Pirate last wisdom tooth looking really peaky
positive,Mozzer cancelled tonight looks
negative,waiting aaron get town leave work booo
neutral,morning tweat tweat twitter
neutral,Headed home Charlie vet
neutral,wan na b maliks taking stage
positive,going bed soon happy mothers day mothers ryan less weeks
negative,bored bored bored wish something tomorrow especially weather fair
negative,well even breakdown better acts unfortunately Britain got little talent
neutral,go leeds shopping
negative,Sadly view site due region restrictions
negative,hs still office really tired wan na go home
positive,Aly AJ new album summer YAY
positive,Awwwww fun fam boo boo
positive,lovelytrinkets like way worded Rocky Road
positive,Mexican coca cola bottle New favorite thing high fructose corn syrup sugar awesomely old school
negative,Got people let skip sci pratical becos skola impt dont waste parents money Nt fair
neutral,nothing witty say
neutral,
neutral,Hi ho hi ho work go
positive,Thanks hint http
positive,u welcome babe kill show Yuuupp
neutral,Hey Candis
negative,never good stereotypical teen
positive,love Maitu N loves Happy mothers day mama
negative,sorry
neutral,want go singapore mother seems
neutral,JB front factor x wooh contest timeee
neutral,u going Chicago
positive,problems wih pizza ii love much addicted pizza Dot Dot Curve
negative,tired
positive,lovely breakfast mum yummy pancakes
positive,Yay fun
positive,thank Us Mami bringin sexy back
positive,lucky awesome
negative,Oh god moth living power outlet Actually PowerSquid
neutral,craving Burrito Boys Large halibut everything jalepenos line hot sauce anybody hook
neutral,Oh time real
neutral,pay sales tax great Even worse Mom Pop businesses double pay business licenses
positive,love much called talking fans love lot Mitchel see u El Cajon June
negative,misses bed sleepy
positive,Woo Two days till awesome gig one day till Uni finished days gigs
neutral,TV internet make Catherine something something
neutral,Anyone advice need
negative,found mj mouse flats DJs course none left size
negative,dreading hearing even worse news tonight
neutral,whole followers actual people know write anymore
positive,haappy bank holiday weeeeks aah
neutral,thought licensing stores bc takes away experience want provide
neutral,look like tired pic work hard
neutral,slept little well lot whooops
positive,says new layout cute x see cuties hahahah http
positive,Good night Rob Sleep well Safe travels tomorrow
negative,know suck data plan weak sauce
neutral,Well making beds creating noise cleaning cleaning day long music smile x
neutral,Bit New Scientist weeks last weeks Watership
negative,dear oh dear
neutral,monday running fast
negative,playing old school playground still except lame got rid tire swing
positive,happy mommah day moms http
neutral,Work hehe mind gutter sittin doin student loan thing
positive,Lol could written would good Mondays week might catch x
neutral,surrounded official yet
positive,Cant wait DTE Michigan summer guys great look customized NKOTB Track Jacket
negative,nope fifth generation ipod classic likes dumb
negative,meetings overrated
positive,love smell procrastination morning oder
negative,considered nurse younger really think could cope baby died
positive,know definitely going try see weekend
positive,Nice
negative,Oh must gettin old mom use watch show miss
positive,lol totally made laugh made day
positive,tonight fun
neutral,creepy guy walking dog fill creepers day
positive,Good morning took longest shower ive ever taken life Like min shower Woah lol
neutral,facebook
neutral,get drive dad airport fly Vegas WSOP wan na go Vegas
neutral,Franco made breakfast Mom trying cut strawberries safe knife fb http
neutral,http better person send u feel like mouse American Tail RI
negative,Allergies sun wearing shorts Stuck advisory whole day boring Except fun people make fun
neutral,Thank know happy sad time know got Right Stuff
neutral,agree teenage daughter spending money movie concert week
neutral,Someone soon lucky recipient Tweet Oh wait
positive,Good morning went bed feels already morning goes fast going gym soon nice day
neutral,one governors one directors company
negative,internet week longer
negative,Jesus Christ meadowhall could better air con hot
neutral,listening P nk tunage trying teach cat dance think getting backing dancers next tour
positive,sure
neutral,Getting ready work sun shining plus Bgt tonight gon na finished
neutral,aztec mask harder thought u kno think pretty good job artist
neutral,Listenin old school new found glory Hedro gimi high school band load Besides home grown
neutral,Kelly Kelly pays bills Kaden pays em wants follow lol dosent get pay bills
positive,want gooo
negative,evryone come http spamming much blogtv glitching might work
positive,Ready tomorrow mommy get gift Mother Day Hope LOVES
negative,Ugh fun concert screen cracked phone fell
neutral,take backstreet boya put silk mc hammer pants sgt coats lame music SMAP
positive,happy VStudio shortcuts backkk
positive,wait hear evp cuuuute picture
positive,Headed verizon Praying pinkberry going make
negative,Awaiting reply two projects One cancelled
neutral,Coco still
positive,Watched Belong Lovely Sister Kiddin
neutral,Hello ur saturday go
neutral,showing spymaster screen
positive,Well Sacramento hope appreciate Rivkah Sass treat well sitting Omaha pouting
positive,Leaving beach great day vicente needed time together
negative,Got caught rain Sand Monsoon way home even though looked like complete idiot
negative,left already misses Nashville back sunday
neutral,Going bed CAVS game judge LOL
negative,busy Bob jealous sure even afford go meet John de Lancie Leonard Nimoy
negative,living country government ALWAYS circus show sad true
neutral,went twitter crazy last nigh p well thats happens u got nothin ta clock da mornin
neutral,want chocolate
neutral,http Tell love someone like
positive,yep going better
positive,Fun
negative,nose stud fell find Looks like head Amsterdam today get new one
neutral,shall see
positive,Excellent analogy
positive,Good morning tweeps Busy working way
neutral,lmao im joking mate
positive,FOLLOW BABY U SAID N DA CHAT U LUV YA GOODNITE
neutral,busy work must run traffic bad
positive,got rad new aunt Made cool shiny shiny pink material
positive,awesome talk find true watching ruby community closely
neutral,hours guess sleepin living room
positive,hahaha niene ur soo lmao think good lookin whts gurlie come home weekend
neutral,http happens models
positive,hereby announce employed happier Alhamdulillah
negative,juz registered cp twitter tweets wont go thru Argh Hmm wan na follow idols lyk away PC
neutral,Speaking Speaking
neutral,Paid bills go mailbox find
neutral,could would require today duvet day imagine outfit Wendyhouse photo worthy
positive,Glad hear made hear place used country Looking forward arrival
neutral,found swing set sale blocks home super cheap want kids one answering phone listed
negative,many farewell parties sad see people leaving
negative,Still pity comes lamb though
neutral,got cups got ta come get
positive,TAKE TAKE FACES Robbie
positive,reason wonder loves
positive,happy birthday ness
neutral,Wow really hope gets better Asthma sucks
negative,feels cousin monkey http
neutral,charlie chocolate factory mood johnny depp bed Preparing hour wok day tomorrow
neutral,absolute positioned divs Web compability killer
negative,hate left one slice bread left bag Half sandwich
positive,Loves random acts kindness laughter
positive,Gha work hopefully traffic cleared time get
positive,watched another episode JONAS better Hannah Montana much true
positive,Going meet new family babysitting Wish still sleeeeping
negative,Hi Heather dont know saw messages April twitter friendly
neutral,belive one episode go
neutral,also watch Family Guy online yes total shill
negative,know right Poorpoor girl shows put young people competitions like though
neutral,excited people reservation morning LOVIN right sure
positive,wowie wooie someone updated twitter without remind even mad impressed lasagna
positive,Today another good day less extreme experiences Anyone fan watching season
negative,going tonight never wrote back info im sososo sad
negative,still im sick sick
neutral,sure understand twitter thing works
negative,wat stressful week jus hope everything falls place
negative,hubby dentist ready hold hand getting nervy potentially buying car tomorrow
positive,Aww got see grade teacher last day retired
negative,sure continue Tweet conf call worrying cat bee
negative,LOL Made huge mess school shirt using charcoal sticks art
neutral,b finished
negative,BGT made cry tonight
negative,gawww facebook slow
positive,im cool cant wait hear stories xoxo
neutral,Bird poo update Managed clean slight stainage remains tips
positive,Also conviced happy dance told adorable happy dance ever
neutral,day til NYC journey soon begins Music baby
positive,feel love pizza girl eat pizza everyday
positive,way early anyway nigth night love
negative,say PLEASE REPLY DOUGIE double dare
neutral,either went snicker Although enjoying listening RR beer
neutral,Hey Esmee U
positive,MUAHAHAHHAHAHA well maybe think crazy something scared yet though
neutral,nope drunk sometimes think maybe maybe Twitter would make sense ya know
positive,today got POP lovess ittt haha x
neutral,EpiCentre Wheelock Place tourists
positive,Perfect night Best month life far boo
positive,yayy help im english homeworks holidays
positive,hi ya demi im glad ur back http personally love picture haha
negative,Think tour England dont got see aweomse people
neutral,Mouth brilliant response Pants http top wrong
neutral,Good morning haha read swine flu probably come pigs people Poor pigs got blame
negative,bummed even one testimonial Flickr
negative,sorry feeling way
positive,yeah Prom Night Craft good movie
neutral,flu flu
negative,go logan square pretty sure shirt philly local tmrw
neutral,see floors make offer Let know receive call soon
positive,sending healthy healing thoughts mumborg direction
positive,prom Ha Chinese iced chai old school pokemon Good night
neutral,Prayers family dog Mozart put afternoon Pics http
positive,Went short flight around Geelong waterfront Surprised well handled still exhausted last weeks meetup
positive,keep prayers welcome back TX Hope good safe flight
negative,Good morning scary world
positive,back working auditing away time make hard decisions happy
positive,ummmm comment LOL actually watched GH week
neutral,think u enough friends including lol
neutral,presents http
neutral,hmm ur fav movie tv shows
positive,gon na first twitter cause amazing lol come canada would anything see perform
positive,Thankfully face shows photoshoots
positive,worry bizarre find
negative,Sorry failed grasp meaning
neutral,sadly going killumbus show really want one wants drive
neutral,Morning Lou housework im Church
positive,Extremely happy see new track Awakening featured Indivibe http
neutral,hahaha n u
positive,love mom Happy Mother Day mommies
positive,Chilling MCFLY last night ABSOULUTELY INCREDIBLE love
negative,God asylum Really never get anything cool
neutral,got fight kicked bar least knocked fat lip though Pulled another number
positive,working mothers day slideshow cake card balloons deserves best
neutral,Early bird gets worm case birder gets witness carnage
neutral,
positive,Thanks hope good one
positive,thanks completing Calvin Appreciated
negative,Morning everyone sorry going early last night bad news felt totally Today new day
neutral,Wow new Google icons suck http
positive,Hahah best Thank god Terry laughing hard miss remember racing trucks
neutral,tell people contact people
negative,KILL JASMINE talked ages
positive,got awesome hair cut todayyyy looks hottt haha homework
neutral,never alone think one cares realize always one person cares
positive,someone sweet tooth dying somethin sweet attacked chock coated tiny teddies could find lol
negative,work shiny red coffee table
negative,commentary sad sad
positive,Yet another good weekend someone Sigh Man like boy
positive,head Strand goodnight
neutral,every day life lately feel ya girl
positive,hiya looking
negative,Aw stinks sorry
neutral,trying recover broken heart yet time
neutral,ach probably labeled believe name used aired BBC America
neutral,Ha find thing Google came database acronym front seat aka shotgun
neutral,yes good carnt belive much traffic hit way back
negative,comp slo w
neutral,didnt send text
neutral,oh mannn gon na tomorroww
negative,unfortunately take repair shop replace
positive,Come VietNam make live Show Miley much fans love Viet Nam
negative,guys could fun cardboard box miss already bro
neutral,little twitter mention SNL
negative,Josie surgery officially unable procreate way Poor medicated baby
negative,signed account political website could post comment working
positive,thanks JT also enjoyed r u following ill follow u back
neutral,mum lost grangemouth Utter hilarity Totally lost
negative,sorry lonely
negative,Feeling awful new medication making nauseous
negative,inooo arent wan na go meet kyle im obsessed fair
neutral,need bear hug Im going camp today
positive,could send California sunshine way
positive,need present mom Could anybody help
negative,Weirton Julie way North tippy top LOL think southern WV folks like us much
neutral,learning use twitter
negative,bad mood dont feel good bad one cares
positive,love much got hiding spot gon na go check datalounge
neutral,Try one
negative,youre diabetic dad might sure still allowed eat sugar throughout day
negative,really want sleep butmy eyes let
neutral,check yourz Rayne
neutral,years since checkered days Matter fact torn black classics
negative,Ian going matinee tomorrow plan least going expensive night
neutral,less hour
negative,know work boring prefer take life
positive,Gmorning Hermana Thank testimonial wonderful Posted already
neutral,ha nothing man right mothers day except taking kids mum hands whole day
positive,AHHH Whatchu baby HAHAHA believe youu heh actually Life worth taking risks http
neutral,raid leader made us run drills practice switching
neutral,Clang rocks using right Anyways according comments apple gcc dunno public tho
neutral,Unlike cierra look like poop today Whatevahh lol
positive,enjoy Hanami picnic cherry tree park Hope weather stays nice
negative,comp deleted half apps
positive,Whin Park swings victory mine right
positive,Well would seem enter nine Individual without EIN according Apple Hurray
positive,like ten times better place xD beautiful fun gold coast hot dogs xD
neutral,Whole body sore moving hundreds pieces luggage last weekend Guess visit gym often
positive,oh kind
positive,yeah quick using addi bought Sat makes even smoother
neutral,even look fabric unless need polar fleece worth extra go Needle Thread
neutral,Pleeaaasee come sun
positive,ummm last night DM said question
negative,man really sorry
neutral,watching jobros live chat live though haha
negative,wow tomorrow never see people kind sad
negative,NCAA Baseball Road Omaha South Carolina hit homerun Dagger heart Mason South Carolina
positive,send messages greg time answer ok still love goog luck move Erie
neutral,honesty much Sorry resist
neutral,oh ok always wondered worked top ear done dont think could get anything else pierced
neutral,noooooooo another headache hopefully migraine
negative,todays drag bored im get romance book prob wont til morn night twitter babes
negative,twitter fam hop back AIM went ghost lolz sowwy
negative,make good girls go bad
negative,Sites republish blog feed often end higher blog Google search results
neutral,Going dinner bbs
neutral,hope georgia still wide awake hiccups
neutral,phone knew charged last night SIGH
neutral,quite
positive,oh yes Level
negative,baby adventure hours car Lake Ann Mi admit cried little truck pulled
positive,http NEED RIGHT ABSOLUTELY MINDDDD BLOWING love much
negative,frustrated stupid iPhone need blackberry
neutral,Woo got fast mobile broadband connection
neutral,really want Sporebat pet
positive,still mothers day lunch uncles house nice time
positive,Oh ate pizza last night stupidly feel closer somehow
negative,Oh right sorry get ya still email wow cool
positive,great time Boston Thanks baby girl http
negative,bad homie
neutral,awake whats breakfast lulu shingle ha ha ha
positive,Good morning everyone
positive,love one especially shoes anyway gmn punya acc lookbook ya http
neutral,shake shake shake shake shake
neutral,Raining
positive,good morning world
neutral,hope everyone great week let know think im crazy hating coffee XD
neutral,back br
neutral,Time put weapons charger night Sleep tight
neutral,Using tiffys computer feels different mine touch different
positive,Happy Mother Day Moms sure heart mankind
neutral,still talking
neutral,want Crimson Gem Saga go play RF Guerilla demo repeatedly Mission Failed DIED many times dicking around
positive,lol great movie
neutral,b last V tomorow apples n caffeine n chocolate bye bye chocy
neutral,awoken loud banging continues day Good thing got early rest last night
neutral,Let go
negative,feels really sick
positive,Hecks yeah Jandy timsamlake rawesome
negative,internet jus cut bout shoot sum guys eye
neutral,u school today
negative,broken Monday mean Monday fix http
negative,People work stressing
neutral,rt hearts past days etsy boo hoo totally
neutral,love sister brags tired spell bowling right haha ok
positive,never trust someone else battery operated power tools hurry
positive,Lol tweets funny met Calgary awesome wait next HP movie
positive,work still amazing beautiful weekend mentioned incredible friends
positive,smell cigarettes alcohol least like
neutral,done internship
neutral,RIP officer Edwards May GOD continue bless family wit cops killing cops Seen thing happen WIRE
neutral,Invasion Old Ladies ended still clean going able make tweetup tonight
positive,current goal lose pounds next tuesday come soooo ready Gatlinburg
positive,best friends bought something really want
positive,depends goals much want spend Cannondale Specialized Cervelo good brands
neutral,phone mum http
neutral,tooo
negative,net died yeah sad
neutral,anticipating next ten days
negative,dont know follow sme ppl e anoying boring note self peeps monday morning
neutral,yeah start reaching
neutral,getting ready babysit
negative,Bad migrane need go dancing tonight good combination
negative,Grinding Skyguard rep less awful anticipated Yet still awful Last tabard need
positive,dunno saw happy birthday girl
neutral,looking forward see hear Norway Live fast
positive,awesome
neutral,actually workin home tonight
negative,want beach sun
negative,OH tired
positive,Well dog still shelter hope someone good
positive,Well tell fashion tips need woman hehehe
negative,Hello Taylor MISS months
negative,wear lot white http
positive,Always good idea
neutral,remember days big fan Wesley really felt youngster dealing
positive,getting nails done relaxing benji hours away
negative,long hun head hurts
neutral,walmart playing hide seek
neutral,whatever mean
negative,sudden craving broccoli cheese soup really bad mouth watering envisioning bread bowl head
positive,wish people would notice
neutral,test works fine tweetdeck cool eh
positive,Wish babe
negative,morning rode behind guy bird cage containing plastic Tyrannosaurus rex attached bicycle get photo
positive,love summer oddly want school year end
positive,lolz modesty kix rox gals lined door
positive,morning everone sing tuck Turn light kept safe sound night
positive,bothered working tomorrow
